"","source","gene_name"
"1","ATP6V0E2-AS1","AC092666.2"
"2","ATP6V0E2-AS1","SSPOP"
"3","ATP6V0E2-AS1","ZNF467"
"4","ATP6V0E2-AS1","AC092666.1"
"5","ATP6V0E2-AS1","ZNF862"
"6","ATP6V0E2-AS1","AC004877.2"
"7","ATP6V0E2-AS1","AC004877.1"
"8","ATP6V0E2-AS1","ATP6V0E2-AS1"
"9","ATP6V0E2-AS1","ZBED6CL"
"10","ATP6V0E2-AS1","LRRC61"
"11","ATP6V0E2-AS1","AC005586.1"
"12","ATP6V0E2-AS1","RARRES2"
"13","ATP6V0E2-AS1","REPIN1-AS1"
"14","ATP6V0E2-AS1","AC093458.1"
"15","ATP6V0E2-AS1","AC093458.2"
"16","ATP6V0E2-AS1","AC092681.3"
"17","ATP6V0E2-AS1","AC092681.1"
"18","ATP6V0E2-AS1","AC092681.2"
"20","ATP6V0E2-AS1","AC006008.1"
"21","ATP6V0E2-AS1","ZNF775"
"22","ATP6V0E2-AS1","AC004941.1"
"23","ATP6V0E2-AS1","AC073314.1"
"24","ATP6V0E2-AS1","ZNF777"
"25","ATP6V0E2-AS1","AC073111.2"
"26","ATP6V0E2-AS1","ZNF775-AS1"
"27","LEF1-AS1","PAPSS1"
"29","LEF1-AS1","RNU6-733P"
"30","LEF1-AS1","CYP2U1"
"31","LEF1-AS1","AC096564.1"
"32","LEF1-AS1","LEF1"
"33","LEF1-AS1","RPSAP34"
"34","LEF1-AS1","ZACNP1"
"35","LEF1-AS1","EXOC7P1"
"36","LEF1-AS1","RPL34"
"37","LEF1-AS1","OSTC"
"38","LEF1-AS1","RNU6-431P"
"39","LEF1-AS1","AC107071.1"
"40","LEF1-AS1","ETNPPL"
"41","LINC00189","U6"
"42","LINC00189","N6AMT1"
"43","LINC00189","HSPD1P7"
"44","LINC00189","THUMPD1P1"
"45","LINC00189","LTN1"
"46","LINC00189","RPL23P2"
"47","LINC00189","RWDD2B"
"48","LINC00189","AF129075.2"
"49","LINC00189","USP16"
"50","LINC00189","CCT8"
"51","LINC00189","AF129075.1"
"52","LINC00189","AF129075.3"
"53","LINC00189","MAP3K7CL"
"54","LINC00189","RPL12P9"
"55","LINC00189","Y_RNA"
"56","LINC00189","U3"
"57","LINC00189","AF124730.1"
"58","LINC00189","LINC00189"
"59","LINC00189","BACH1"
"60","LINC00189","GAPDHP14"
"61","LINC00189","BACH1-IT1"
"62","LINC00189","AP000240.1"
"63","LINC00189","BACH1-AS1"
"64","LINC00189","BACH1-IT2"
"65","LINC00189","BACH1-IT3"
"67","LINC00189","AP000238.1"
"68","LINC00189","GRIK1-AS1"
"70","DLEU2","SNRPGP14"
"71","DLEU2","PHF11"
"72","DLEU2","RCBTB1"
"73","DLEU2","AL135901.1"
"74","DLEU2","ARL11"
"75","DLEU2","EBPL"
"76","DLEU2","KPNA3"
"77","DLEU2","AL136301.1"
"78","DLEU2","RNY4P30"
"79","DLEU2","CTAGE10P"
"80","DLEU2","RNY4P9"
"81","DLEU2","SPRYD7"
"82","DLEU2","TRIM13"
"83","DLEU2","MIR3613"
"84","DLEU2","KCNRG"
"85","DLEU2","AL137060.9"
"86","DLEU2","AL137060.7"
"87","DLEU2","MIR16-1"
"88","DLEU2","MIR15A"
"89","DLEU2","AL137060.4"
"90","DLEU2","AL137060.2"
"91","DLEU2","AL137060.8"
"92","DLEU2","AL137060.5"
"93","DLEU2","DLEU1"
"94","DLEU2","AL137060.6"
"95","DLEU2","RPL18P10"
"96","DLEU2","AL137060.1"
"97","DLEU2","AL137060.3"
"98","DLEU2","ST13P4"
"99","DLEU2","RPL34P26"
"100","DLEU2","AL158195.1"
"101","DLEU2","DLEU7"
"102","C8orf31","RCBTB1"
"103","C8orf31","AL135901.1"
"104","C8orf31","ARL11"
"105","C8orf31","EBPL"
"106","C8orf31","KPNA3"
"107","C8orf31","AL136301.1"
"108","C8orf31","RNY4P30"
"109","C8orf31","CTAGE10P"
"110","C8orf31","RNY4P9"
"111","C8orf31","SPRYD7"
"113","C8orf31","TRIM13"
"114","C8orf31","MIR3613"
"115","C8orf31","KCNRG"
"116","C8orf31","AL137060.9"
"117","C8orf31","AL137060.7"
"118","C8orf31","MIR16-1"
"119","C8orf31","MIR15A"
"120","C8orf31","AL137060.4"
"121","C8orf31","AL137060.2"
"122","C8orf31","AL137060.8"
"123","C8orf31","AL137060.5"
"124","C8orf31","DLEU1"
"125","C8orf31","AL137060.6"
"126","C8orf31","RPL18P10"
"127","C8orf31","AL137060.1"
"128","C8orf31","AL137060.3"
"129","C8orf31","ST13P4"
"130","C8orf31","RPL34P26"
"131","C8orf31","AL158195.1"
"132","C8orf31","DLEU7"
"133","FOXN3-AS1","RCBTB1"
"134","FOXN3-AS1","AL135901.1"
"135","FOXN3-AS1","ARL11"
"136","FOXN3-AS1","EBPL"
"137","FOXN3-AS1","KPNA3"
"138","FOXN3-AS1","AL136301.1"
"139","FOXN3-AS1","RNY4P30"
"140","FOXN3-AS1","CTAGE10P"
"141","FOXN3-AS1","RNY4P9"
"142","FOXN3-AS1","SPRYD7"
"144","FOXN3-AS1","TRIM13"
"145","FOXN3-AS1","MIR3613"
"146","FOXN3-AS1","KCNRG"
"147","FOXN3-AS1","AL137060.9"
"148","FOXN3-AS1","AL137060.7"
"149","FOXN3-AS1","MIR16-1"
"150","FOXN3-AS1","MIR15A"
"151","FOXN3-AS1","AL137060.4"
"152","FOXN3-AS1","AL137060.2"
"153","FOXN3-AS1","AL137060.8"
"154","FOXN3-AS1","AL137060.5"
"155","FOXN3-AS1","DLEU1"
"156","FOXN3-AS1","AL137060.6"
"157","FOXN3-AS1","RPL18P10"
"158","FOXN3-AS1","AL137060.1"
"159","FOXN3-AS1","AL137060.3"
"160","FOXN3-AS1","ST13P4"
"161","FOXN3-AS1","RPL34P26"
"162","FOXN3-AS1","AL158195.1"
"163","FOXN3-AS1","DLEU7"
"164","FOXN3-AS1","AC083841.4"
"165","FOXN3-AS1","RHPN1"
"166","FOXN3-AS1","ARC"
"167","FOXN3-AS1","LY6D"
"168","FOXN3-AS1","TOP1MT"
"169","FOXN3-AS1","LY6E"
"170","FOXN3-AS1","GML"
"171","FOXN3-AS1","CDC42P3"
"172","FOXN3-AS1","GPIHBP1"
"173","FOXN3-AS1","AC083841.3"
"174","FOXN3-AS1","JRK"
"175","FOXN3-AS1","LYPD2"
"176","FOXN3-AS1","SLURP2"
"177","FOXN3-AS1","CYP11B2"
"178","FOXN3-AS1","AP006547.1"
"179","FOXN3-AS1","ZNF696"
"180","FOXN3-AS1","ZNHIT1P1"
"181","FOXN3-AS1","RHPN1-AS1"
"182","FOXN3-AS1","AC083982.1"
"183","FOXN3-AS1","AC083841.2"
"184","FOXN3-AS1","MROH4P"
"185","FOXN3-AS1","AC138696.1"
"186","FOXN3-AS1","SLURP1"
"187","FOXN3-AS1","GLI4"
"188","FOXN3-AS1","LYNX1"
"189","FOXN3-AS1","LYNX1-SLURP2"
"190","FOXN3-AS1","ZFP41"
"191","FOXN3-AS1","LY6K"
"192","FOXN3-AS1","AK3P2"
"193","FOXN3-AS1","THEM6"
"194","FOXN3-AS1","PSCA"
"195","FOXN3-AS1","AC108002.1"
"196","FOXN3-AS1","AC138696.2"
"197","FOXN3-AS1","RNU6-220P"
"198","FOXN3-AS1","CYP11B1"
"199","FOXN3-AS1","LY6H"
"200","FOXN3-AS1","AC105118.1"
"201","FOXN3-AS1","MAFA-AS1"
"202","FOXN3-AS1","MAFA"
"203","FOXN3-AS1","ZC3H3"
"204","FOXN3-AS1","AC067930.8"
"205","FOXN3-AS1","AC067930.3"
"206","FOXN3-AS1","RN7SKP175"
"207","FOXN3-AS1","GSDMD"
"208","FOXN3-AS1","AL137785.1"
"209","FOXN3-AS1","MPPE1P1"
"210","FOXN3-AS1","FOXN3"
"211","FOXN3-AS1","AL138478.1"
"212","FOXN3-AS1","CAP2P1"
"213","FOXN3-AS1","AL357093.2"
"214","FOXN3-AS1","AL357093.1"
"215","FOXN3-AS1","AL356805.1"
"216","FOXN3-AS1","AL137230.2"
"217","FOXN3-AS1","FOXN3-AS1"
"218","FOXN3-AS1","FOXN3-AS2"
"219","FOXN3-AS1","RN7SKP107"
"220","FOXN3-AS1","AL137230.1"
"221","FOXN3-AS1","Y_RNA"
"222","FOXN3-AS1","RN7SKP255"
"223","FOXN3-AS1","CHORDC2P"
"224","FOXN3-AS1","EFCAB11"
"225","FOXN3-AS1","RAB42P1"
"226","FOXN3-AS1","SNX30"
"227","FOXN3-AS1","AL162727.1"
"228","FOXN3-AS1","RGS3"
"229","FOXN3-AS1","AL162727.2"
"230","FOXN3-AS1","INIP"
"231","FOXN3-AS1","AL162727.3"
"232","FOXN3-AS1","AL390067.1"
"233","FOXN3-AS1","SLC46A2"
"234","FOXN3-AS1","AL139041.1"
"235","FOXN3-AS1","MUPP"
"236","FOXN3-AS1","AL162588.1"
"237","FOXN3-AS1","AL449105.1"
"238","FOXN3-AS1","AL449105.3"
"239","FOXN3-AS1","AL449105.4"
"240","FOXN3-AS1","AL449105.2"
"241","FOXN3-AS1","AL449105.5"
"242","FOXN3-AS1","FAM225B"
"243","FOXN3-AS1","FAM225A"
"244","FOXN3-AS1","SLC31A2"
"245","FOXN3-AS1","KIAA1958"
"246","FOXN3-AS1","ZFP37"
"247","FOXN3-AS1","SLC31A1"
"248","FOXN3-AS1","CDC26"
"249","FOXN3-AS1","PRPF4"
"250","FOXN3-AS1","WDR31"
"251","FOXN3-AS1","BSPRY"
"252","FOXN3-AS1","ALAD"
"253","FOXN3-AS1","POLE3"
"254","FOXN3-AS1","C9orf43"
"255","FAM225A","SNX30"
"256","FAM225A","AL162727.1"
"257","FAM225A","RGS3"
"258","FAM225A","AL162727.2"
"259","FAM225A","INIP"
"260","FAM225A","AL162727.3"
"261","FAM225A","AL390067.1"
"262","FAM225A","SLC46A2"
"263","FAM225A","AL139041.1"
"264","FAM225A","MUPP"
"265","FAM225A","AL162588.1"
"266","FAM225A","AL449105.1"
"267","FAM225A","AL449105.3"
"268","FAM225A","AL449105.4"
"269","FAM225A","AL449105.2"
"270","FAM225A","AL449105.5"
"271","FAM225A","FAM225B"
"272","FAM225A","FAM225A"
"273","FAM225A","SLC31A2"
"274","FAM225A","KIAA1958"
"275","FAM225A","ZFP37"
"276","FAM225A","SLC31A1"
"277","FAM225A","CDC26"
"278","FAM225A","PRPF4"
"280","FAM225A","WDR31"
"281","FAM225A","BSPRY"
"282","FAM225A","ALAD"
"283","FAM225A","POLE3"
"284","FAM225A","C9orf43"
"285","LINC00487","AC017053.1"
"286","LINC00487","LINC01247"
"287","LINC00487","LINC01824"
"288","LINC00487","PIK3CDP1"
"289","LINC00487","MIR7515HG"
"290","LINC00487","AC097517.1"
"291","LINC00487","MIR7515"
"292","LINC00487","LINC00487"
"293","LINC00487","NRIR"
"294","LINC00487","CMPK2"
"295","LINC00487","RSAD2"
"296","LINC00487","AC017076.1"
"297","LINC00487","GRASLND"
"298","LINC00487","RNF144A"
"299","LINC00487","AC068481.1"
"300","LINC00487","RN7SKP112"
"301","LINC00487","AC010904.2"
